wavelength,channel_1
1262.92,-28.6224
1262.93,-28.3068
1262.94,-28.2854
1262.95,-28.543
1262.96,-28.4848
1262.97,-28.6243
1262.98,-28.7101
1262.99,-28.5396
1263.0,-28.4069
1263.01,-28.4789
1263.02,-28.563
1263.03,-28.353
1263.04,-28.0222
1263.05,-28.3254
1263.06,-28.3784
1263.07,-28.242
1263.08,-28.1248
1263.09,-28.2054
1263.1,-28.3394
1263.11,-28.5041
1263.12,-28.2483
1263.13,-28.3003
1263.14,-28.1454
1263.15,-28.0935
1263.16,-28.1281
1263.17,-28.086
1263.18,-28.115
1263.19,-28.1713
1263.2,-28.2002
1263.21,-28.1152
1263.22,-28.2504
1263.23,-28.5491
1263.24,-28.4993
1263.25,-28.1312
1263.26,-28.2839
1263.27,-28.2935
1263.28,-27.9173
1263.29,-27.815
1263.3,-28.0436
1263.31,-28.1781
1263.32,-28.0817
1263.33,-28.1638
1263.34,-28.5538
1263.35,-28.4425
1263.36,-28.3237
1263.37,-28.2103
1263.38,-28.3835
1263.39,-28.0188
1263.4,-27.942
1263.41,-28.1662
1263.42,-28.3045
1263.43,-28.2608
1263.44,-28.2042
1263.45,-28.3103
1263.46,-28.4847
1263.47,-28.3807
1263.48,-28.3465
1263.49,-28.3773
1263.5,-28.2529
1263.51,-28.2319
1263.52,-28.3248
1263.53,-28.2208
1263.54,-28.5002
1263.55,-28.62
1263.56,-28.6258
1263.57,-28.5088
1263.58,-28.6005
1263.59,-28.9157
1263.6,-28.6443
1263.61,-28.6341
1263.62,-28.6322
1263.63,-28.7199
1263.64,-28.7703
1263.65,-28.7538
1263.66,-28.8825
1263.67,-28.9802
1263.68,-28.9928
1263.69,-29.1068
1263.7,-29.0974
1263.71,-29.1334
1263.72,-29.0606
1263.73,-29.0287
1263.74,-29.1842
1263.75,-29.1998
1263.76,-29.2653
1263.77,-29.4141
1263.78,-29.4639
1263.79,-29.5587
1263.8,-29.4151
1263.81,-29.3385
1263.82,-29.3605
1263.83,-29.4731
1263.84,-29.6357
1263.85,-29.6427
1263.86,-29.9646
1263.87,-29.8537
1263.88,-29.7341
1263.89,-29.7282
1263.9,-29.8135
1263.91,-30.0894
1263.92,-30.3314
1263.93,-29.9768
1263.94,-30.1391
1263.95,-30.0614
1263.96,-30.0656
1263.97,-30.077
1263.98,-30.1157
1263.99,-30.1752
1264.0,-30.2315
1264.01,-30.4013
1264.02,-30.4308
1264.03,-30.7309
1264.04,-30.8251
1264.05,-30.6805
1264.06,-30.6474
1264.07,-30.7284
1264.08,-30.8376
1264.09,-30.8302
1264.1,-30.9182
1264.11,-31.1281
1264.12,-31.0858
1264.13,-31.1087
1264.14,-31.3069
1264.15,-31.448
1264.16,-31.5602
1264.17,-31.677
1264.18,-31.7808
1264.19,-32.0159
1264.2,-31.8078
1264.21,-31.8892
1264.22,-31.9501
1264.23,-31.9758
1264.24,-32.1034
1264.25,-32.1167
1264.26,-32.4727
1264.27,-32.5659
1264.28,-32.659
1264.29,-32.8037
